"AUN Number","County","IU","District Name","Grade","% Advanced/Proficient Math","% Advanced/Proficient Reading","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
103028833,"Allegheny",3,"STEEL VALLEY SD        ",5,47.6,51.2,17.5,30.1,24.7,27.7,23.5,27.7,24.7,24.1
103028833,"Allegheny",3,"STEEL VALLEY SD        ",8,32.3,36.7,8.1,24.2,18.8,48.9,9.6,27.1,23.4,39.9
103028833,"Allegheny",3,"STEEL VALLEY SD        ",11,38.9,42.3,22.8,16.1,26.2,34.9,11.4,30.9,29.5,28.2
103028853,"Allegheny",3,"STO-ROX SD             ",5,19.8,33.8,6.6,13.2,28.9,51.2,10.7,23.1,28.9,37.2
103028853,"Allegheny",3,"STO-ROX SD             ",8,20.3,31.8,3.6,16.7,26.8,52.9,4.3,27.5,31.2,37.0
103028853,"Allegheny",3,"STO-ROX SD             ",11,39.4,49.0,18.2,21.2,23.2,37.4,4.0,45.0,28.0,23.0
103029203,"Allegheny",3,"UPPER SAINT CLAIR SD   ",5,76.5,74.0,39.4,37.1,19.0,4.4,32.1,41.9,21.3,4.8
103029203,"Allegheny",3,"UPPER SAINT CLAIR SD   ",8,85.4,90.1,44.2,41.2,10.4,4.2,58.6,31.5,8.0,1.8
103029203,"Allegheny",3,"UPPER SAINT CLAIR SD   ",11,86.9,90.7,65.0,21.9,9.7,3.3,52.2,38.5,7.5,1.8
103029403,"Allegheny",3,"WEST ALLEGHENY SD      ",5,74.6,77.0,41.3,33.3,16.4,8.9,43.8,33.2,12.8,10.2
103029403,"Allegheny",3,"WEST ALLEGHENY SD      ",8,66.5,79.4,24.4,42.1,18.6,14.9,37.0,42.4,14.8,5.8
103029403,"Allegheny",3,"WEST ALLEGHENY SD      ",11,66.8,78.2,35.2,31.6,18.9,14.3,29.2,49.0,11.9,9.9
103029553,"Allegheny",3,"WEST JEFFERSON HILLS SD",5,81.3,81.8,48.8,32.5,14.3,4.4,47.3,34.5,10.8,7.4
103029553,"Allegheny",3,"WEST JEFFERSON HILLS SD",8,66.0,83.1,22.9,43.1,20.6,13.4,43.3,39.8,12.2,4.7
103029553,"Allegheny",3,"WEST JEFFERSON HILLS SD",11,63.4,74.7,29.4,34.0,19.2,17.4,27.9,46.8,19.2,6.0
103029603,"Allegheny",3,"WEST MIFFLIN AREA SD   ",5,53.9,54.7,24.0,29.9,27.6,18.5,22.0,32.7,23.2,22.0
103029603,"Allegheny",3,"WEST MIFFLIN AREA SD   ",8,46.4,58.8,13.2,33.2,26.4,27.2,18.4,40.4,23.2,18.0
103029603,"Allegheny",3,"WEST MIFFLIN AREA SD   ",11,54.2,67.7,20.2,34.0,22.3,23.5,13.9,53.8,21.0,11.3
103029803,"Allegheny",3,"WILKINSBURG BOROUGH SD ",5,41.7,39.3,13.5,28.2,27.0,31.3,16.6,22.7,30.1,30.7
103029803,"Allegheny",3,"WILKINSBURG BOROUGH SD ",8,18.0,41.8,0.0,18.0,28.0,54.0,3.9,37.9,29.1,29.1
103029803,"Allegheny",3,"WILKINSBURG BOROUGH SD ",11,3.6,16.1,0.0,3.6,25.5,70.9,1.8,14.3,33.9,50.0
103029902,"Allegheny",3,"WOODLAND HILLS SD      ",5,32.9,33.5,12.4,20.5,29.1,37.9,11.7,21.8,28.6,37.8
103029902,"Allegheny",3,"WOODLAND HILLS SD      ",8,42.9,54.3,11.4,31.5,26.6,30.5,18.7,35.6,24.2,21.6
103029902,"Allegheny",3,"WOODLAND HILLS SD      ",11,38.8,58.7,14.6,24.2,22.5,38.6,15.7,43.0,21.6,19.7
128030603,"Armstrong",28,"APOLLO-RIDGE SD        ",5,51.1,56.7,22.8,28.3,29.1,19.7,23.6,33.1,22.0,21.3
128030603,"Armstrong",28,"APOLLO-RIDGE SD        ",8,38.5,71.2,10.3,28.2,30.8,30.8,26.3,44.9,16.1,12.7
128030603,"Armstrong",28,"APOLLO-RIDGE SD        ",11,60.5,61.6,27.5,33.0,20.9,18.7,18.7,42.9,23.1,15.4
128030852,"Armstrong",28,"ARMSTRONG SD           ",5,54.4,58.6,21.9,32.5,25.4,20.2,19.6,39.0,25.2,16.3
128030852,"Armstrong",28,"ARMSTRONG SD           ",8,52.7,63.1,15.1,37.6,22.5,24.7,19.6,43.5,20.8,16.1
128030852,"Armstrong",28,"ARMSTRONG SD           ",11,45.7,63.6,16.5,29.2,25.9,28.4,16.8,46.8,17.8,18.6
128033053,"Armstrong",28,"FREEPORT AREA SD       ",5,60.2,59.4,30.1,30.1,20.3,19.5,25.6,33.8,27.1,13.5
128033053,"Armstrong",28,"FREEPORT AREA SD       ",8,67.0,76.6,31.7,35.3,19.2,13.8,34.1,42.5,17.4,6.0
