"AUN","County","IU","District Name","Grade","% Advanced/Proficient Math","% Advanced/Proficient Reading","Number Scored Math","% Advanced Math","% Proficient Math","% Basic Math","% Below Basic Math","Number Scored Reading","% Advanced Reading","% Proficient Reading","% Basic Reading","% Below Basic Reading"
103025002,"ALLEGHENY",3,"KEYSTONE OAKS SD",3,93.0,85.0,156,69.0,24.0,6.0,1.0,156,45.0,40.0,10.0,5.0
103025002,"ALLEGHENY",3,"KEYSTONE OAKS SD",5,81.4,87.6,145,48.3,33.1,14.5,4.1,145,34.5,53.1,9.7,2.8
103025002,"ALLEGHENY",3,"KEYSTONE OAKS SD",8,67.7,74.1,201,41.8,25.9,20.4,11.9,201,32.3,41.8,13.9,11.9
103025002,"ALLEGHENY",3,"KEYSTONE OAKS SD",11,57.5,65.5,226,22.1,35.4,19.0,23.5,226,24.3,41.2,11.9,22.6
103026002,"ALLEGHENY",3,"MCKEESPORT AREA SD",3,56.0,37.0,288,19.0,37.0,27.0,17.0,287,12.0,25.0,23.0,40.0
103026002,"ALLEGHENY",3,"MCKEESPORT AREA SD",5,61.7,49.7,334,23.7,38.0,19.8,18.6,334,11.1,38.6,20.7,29.6
103026002,"ALLEGHENY",3,"MCKEESPORT AREA SD",8,32.2,36.6,392,11.5,20.7,24.2,43.6,390,9.2,27.4,19.7,43.6
103026002,"ALLEGHENY",3,"MCKEESPORT AREA SD",11,30.8,47.9,318,12.6,18.2,19.8,49.4,313,20.1,27.8,17.6,34.5
103026303,"ALLEGHENY",3,"MONTOUR SD",3,88.0,74.0,216,56.0,32.0,6.0,6.0,216,36.0,38.0,14.0,12.0
103026303,"ALLEGHENY",3,"MONTOUR SD",5,86.7,70.7,249,53.8,32.9,5.2,8.0,249,23.3,47.4,16.5,12.9
103026303,"ALLEGHENY",3,"MONTOUR SD",8,74.0,75.2,258,45.7,28.3,15.5,10.5,258,41.9,33.3,13.6,11.2
103026303,"ALLEGHENY",3,"MONTOUR SD",11,61.0,83.2,249,30.5,30.5,22.1,16.9,249,45.4,37.8,7.2,9.6
103026343,"ALLEGHENY",3,"MOON AREA SD",3,92.0,87.0,258,63.0,29.0,7.0,2.0,258,46.0,41.0,8.0,5.0
103026343,"ALLEGHENY",3,"MOON AREA SD",5,72.3,77.9,289,34.9,37.4,18.0,9.7,289,33.6,44.3,12.1,10.0
103026343,"ALLEGHENY",3,"MOON AREA SD",8,78.4,77.1,305,46.6,31.8,15.7,5.9,306,39.5,37.6,14.1,8.8
103026343,"ALLEGHENY",3,"MOON AREA SD",11,79.9,78.5,268,47.4,32.5,10.1,10.1,269,41.3,37.2,11.5,10.0
103026402,"ALLEGHENY",3,"MT LEBANON SD",3,96.0,91.0,380,72.0,24.0,4.0,1.0,379,57.0,34.0,7.0,3.0
103026402,"ALLEGHENY",3,"MT LEBANON SD",5,88.5,88.2,371,61.5,27.0,8.9,2.7,371,45.3,42.9,7.3,4.6
103026402,"ALLEGHENY",3,"MT LEBANON SD",8,89.7,87.3,447,70.5,19.2,6.0,4.3,447,60.9,26.4,7.4,5.4
103026402,"ALLEGHENY",3,"MT LEBANON SD",11,87.0,91.8,449,66.1,20.9,7.1,5.8,448,71.9,19.9,4.2,4.0
103026852,"ALLEGHENY",3,"NORTH ALLEGHENY SD",3,95.0,93.0,551,67.0,28.0,3.0,2.0,546,63.0,30.0,4.0,3.0
