"2006 PSSA District Level Results: % of Students at Each Performance Level (Full Academic Year)",,,,,,,,,,,,,,,,
"* Groups that have less than 10 students assessed are noted by an asterisk (*). Performance level totals may not add up to 100 due to rounding.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"AUN","County","IU","District Name","Grade","Number scored in Math","Math Advanced & Proficient","Math Advanced","Math Proficient","Math Basic","Math Below Basic","Number scored in Reading","Reading Advanced & Proficient","Reading Advanced","Reading Proficient","Reading Basic","Reading Below Basic"
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD",8,278,63.0,36.7,26.3,20.5,16.5,277,81.2,58.1,23.1,10.8,7.9
103021752,"ALLEGHENY",3,"CHARTIERS VALLEY SD",11,269,64.0,35.7,28.3,16.4,19.7,269,73.2,35.3,37.9,13.8,13.0
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD",3,59,65.0,34.0,31.0,19.0,17.0,59,44.0,8.0,36.0,29.0,27.0
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD",4,59,64.4,20.3,44.1,10.2,25.4,59,35.6,6.8,28.8,28.8,35.6
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD",5,75,30.7,8.0,22.7,36.0,33.3,75,16.0,0.0,16.0,28.0,56.0
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD",6,58,37.9,10.3,27.6,19.0,43.1,59,23.7,6.8,16.9,23.7,52.5
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD",7,85,28.3,7.1,21.2,18.8,52.9,85,28.2,14.1,14.1,25.9,45.9
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD",8,69,39.1,13.0,26.1,23.2,37.7,69,43.4,24.6,18.8,23.2,33.3
103021903,"ALLEGHENY",3,"CLAIRTON CITY SD",11,50,8.0,2.0,6.0,18.0,74.0,50,20.0,2.0,18.0,18.0,62.0
103022103,"ALLEGHENY",3,"CORNELL SD",3,48,98.0,77.0,21.0,2.0,0.0,48,79.0,35.0,44.0,15.0,6.0
103022103,"ALLEGHENY",3,"CORNELL SD",4,53,73.6,34.0,39.6,17.0,9.4,53,64.1,11.3,52.8,22.6,13.2
103022103,"ALLEGHENY",3,"CORNELL SD",5,47,72.3,34.0,38.3,17.0,10.6,47,53.2,14.9,38.3,23.4,23.4
103022103,"ALLEGHENY",3,"CORNELL SD",6,69,65.2,34.8,30.4,17.4,17.4,69,56.5,24.6,31.9,29.0,14.5
103022103,"ALLEGHENY",3,"CORNELL SD",7,80,57.5,27.5,30.0,16.3,26.3,80,62.6,31.3,31.3,15.0,22.5
103022103,"ALLEGHENY",3,"CORNELL SD",8,41,43.9,34.1,9.8,24.4,31.7,41,73.1,39.0,34.1,9.8,17.1
103022103,"ALLEGHENY",3,"CORNELL SD",11,46,36.9,13.0,23.9,8.7,54.3,46,47.8,17.4,30.4,21.7,30.4
103022253,"ALLEGHENY",3,"DEER LAKES SD",3,135,89.0,56.0,33.0,9.0,2.0,135,77.0,36.0,41.0,19.0,4.0
103022253,"ALLEGHENY",3,"DEER LAKES SD",4,140,82.1,30.0,52.1,8.6,9.3,139,73.4,32.4,41.0,20.1,6.5
103022253,"ALLEGHENY",3,"DEER LAKES SD",5,153,85.0,57.5,27.5,11.8,3.3,153,83.7,38.6,45.1,9.2,7.2
103022253,"ALLEGHENY",3,"DEER LAKES SD",6,141,75.9,36.2,39.7,12.8,11.3,141,74.4,41.8,32.6,17.7,7.8
103022253,"ALLEGHENY",3,"DEER LAKES SD",7,154,72.1,29.9,42.2,13.6,14.3,154,76.0,35.7,40.3,16.9,7.1
103022253,"ALLEGHENY",3,"DEER LAKES SD",8,161,74.6,42.9,31.7,13.7,11.8,160,81.9,59.4,22.5,8.8,9.4
103022253,"ALLEGHENY",3,"DEER LAKES SD",11,154,61.7,33.1,28.6,17.5,20.8,154,71.5,40.3,31.2,17.5,11.0
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD",3,61,69.0,26.0,43.0,21.0,10.0,61,39.0,5.0,34.0,25.0,36.0
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD",4,46,50.0,13.0,37.0,15.2,34.8,45,26.6,4.4,22.2,20.0,53.3
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD",5,58,39.6,17.2,22.4,24.1,36.2,57,19.3,1.8,17.5,15.8,64.9
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD",6,51,37.3,9.8,27.5,31.4,31.4,49,20.4,8.2,12.2,24.5,55.1
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD",7,50,48.0,22.0,26.0,26.0,26.0,50,40.0,6.0,34.0,30.0,30.0
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD",8,57,26.3,8.8,17.5,33.3,40.4,57,28.1,5.3,22.8,24.6,47.4
103022503,"ALLEGHENY",3,"DUQUESNE CITY SD",11,41,48.8,9.8,39.0,14.6,36.6,42,47.6,21.4,26.2,14.3,38.1
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD",3,139,77.0,40.0,37.0,14.0,8.0,139,68.0,25.0,43.0,15.0,17.0
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD",4,126,78.5,44.4,34.1,10.3,11.1,126,62.7,20.6,42.1,18.3,19.0
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD",5,127,62.2,35.4,26.8,27.6,10.2,127,62.2,22.0,40.2,18.1,19.7
103022803,"ALLEGHENY",3,"EAST ALLEGHENY SD",6,157,71.9,47.1,24.8,9.6,18.5,157,65.0,34.4,30.6,18.5,16.6
